type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
บช,ลำปาง,งาว,บ้านโป่ง,1,480,259,15,13,193
บช,ลำปาง,งาว,บ้านโป่ง,10,460,279,14,9,158
บช,ลำปาง,งาว,บ้านโป่ง,11,360,205,10,3,142
บช,ลำปาง,งาว,บ้านโป่ง,12,420,263,20,9,128
บช,ลำปาง,งาว,บ้านโป่ง,2,440,261,16,5,158
บช,ลำปาง,งาว,บ้านโป่ง,3,340,208,14,7,111
บช,ลำปาง,งาว,บ้านโป่ง,4,400,213,31,1,155
บช,ลำปาง,งาว,บ้านโป่ง,5,520,338,14,3,165
บช,ลำปาง,งาว,บ้านโป่ง,6,500,252,29,2,217
บช,ลำปาง,งาว,บ้านโป่ง,7,360,195,31,1,133
บช,ลำปาง,งาว,บ้านโป่ง,8,380,234,21,5,120
